"The old settings have been successfully restored! Please check and make tests in your store.","The old settings have been successfully restored! Please check and make tests in your store."
"Set old settings","Set old settings"
"If you just update the module and its old version is below 2.0.0, you can click this button to generate the installments as were set in the old version of the module.","If you just update the module and its old version is below 2.0.0, you can click this button to generate the installments as were set in the old version of the module."
"If you have already set manually, CAUTION! This function will reset all installments.","If you have already set manually, CAUTION! This function will reset all installments."
"Back to shopping cart", "View Shopping Cart"
"Not authorized credit card", "Not authorized credit card"
"by", "for"
"days", "days"
"weeks", "weeks"
"months", "months"
"Quarters", "quarters"
"Semester", "semester"
"years", "years"
"Recurrent payment", "Recurrent payment"
"Daily", "Daily"
"Weekly", "Weekly"
"Montly", "Montly"
"Quarterly", "Quarterly"
"Biannual", "Biannual"
"Yearly", "Yearly"
